gt,fid,group,tier,bed,id,canopy_area_sq_m,mNDVI_mean,mNDVI_median,mNDVI_max,cDSM_mean,cDSM_max,sDSM_median,mean_can_height,max_can_height,can_volume,date,count_thermal,mean_thermal,median_thermal,median.thermal.filtered.to.remove.poor.stands,stdev_thermal,min_thermal,max_thermal,name,entry.type,num,treatment
92,1685,south,19,50,1685,7.683397357,0.815459268,0.847804546,0.908932745,16.0760834,16.22672462,15.82752419,0.248559216,0.399200439,1.909779221,08-10-21,313,24.62051873,23.90621094,23.90621094,2.82188378,22.25216797,40.86994141,M2.105,MAGIC family 2,92,control
92,1685,south,19,50,1685,12.25133708,0.707881705,NA,0.862075329,13.02752281,13.19488239,12.82924652,0.198276284,0.365635872,2.429149591,09-28-21,300,24.78788997,24.72875,24.72875,0.71793494,23.17582031,27.25558594,M2.105,MAGIC family 2,92,control
92,1685,south,19,50,1685,10.30190501,0.827270714,NA,0.913348675,16.05399976,16.27649689,15.77880859,0.27519117,0.497688293,2.834993295,08-24-21,291,33.71820608,33.63431641,33.63431641,0.370954659,33.22853516,35.55314453,M2.105,MAGIC family 2,92,control
92,1685,south,19,50,1685,0.445137667,0.626229707,0.627415955,0.771404684,14.75785541,14.772645,14.75281239,0.005043024,0.019832611,0.00224484,07-06-21,NA,NA,NA,NA,NA,NA,NA,M2.105,MAGIC family 2,92,control
230,1686,south,20,50,1686,7.886413866,0.824243594,0.851350099,0.904111266,16.08317342,16.22707176,15.83590221,0.247271206,0.391169548,1.950083065,08-10-21,288,22.82331367,22.13374023,22.13374023,1.835452443,21.04658203,31.26945313,M6.54,MAGIC family 6,230,control
230,1686,south,20,50,1686,11.73710278,0.662524077,NA,0.851502419,12.93386321,13.08222866,12.83963394,0.094229271,0.242594719,1.105978638,09-28-21,298,26.20106419,26.34661133,26.34661133,0.804433858,24.48488281,29.71015625,M6.54,MAGIC family 6,230,control
230,1686,south,20,50,1686,10.11202834,0.815127835,NA,0.903129101,16.00785386,16.21852493,15.78840828,0.21944558,0.430116653,2.219039926,08-24-21,310,33.91289522,33.84430664,33.84430664,0.457457957,32.91261719,36.80886719,M6.54,MAGIC family 6,230,control
230,1686,south,20,50,1686,0.868630653,0.666354453,0.681376576,0.788381159,14.76580307,14.80496311,14.76430893,0.001494142,0.040654182,0.001297858,07-06-21,NA,NA,NA,NA,NA,NA,NA,M6.54,MAGIC family 6,230,control
231,1687,south,21,50,1687,12.69326586,0.67373868,NA,0.8634305,12.97652515,13.15425014,12.90995312,0.066572034,0.244297028,0.84501652,09-28-21,289,26.25742681,26.17876953,26.17876953,0.724303615,25.07064453,30.83708984,M6.55,MAGIC family 6,231,control
231,1687,south,21,50,1687,11.38590785,0.832886787,NA,0.914133668,16.06659069,16.2997551,15.80597496,0.26061573,0.493780136,2.967346692,08-24-21,292,33.60154698,33.5862793,33.5862793,0.264056683,33.08072266,34.51552734,M6.55,MAGIC family 6,231,control
